movieId,Movie,Year,Certificate,Genre,Overview,Runtime,moviePoster
12,Bharat Ane Nenu,2018,UA,"Action, Drama            ","    Bharat, an young graduate, becomes the C.M of Andhra Pradesh (pre-div) after his father demise without any political knowledge, faces challenges in the process of reform the society.",173,https://upload.wikimedia.org/wikipedia/en/6/68/Bharat_Ane_Nenu_poster.jpg
13,Saaho,2019,UA,"Action, Thriller            ","    An undercover cop becomes embroiled in a battle with warring criminals who want to acquire a ""black box,"" their ultimate key to a treasure.",170,https://upload.wikimedia.org/wikipedia/en/6/6b/Saaho_poster.jpg
14,Theri,2016,U,"Action, Drama            ","    When his daughter's life is endangered by a local gang, Joseph Kuruvilla will do whatever it takes to stop them. However, at the same time, his dangerous past slowly resurfaces.",157,https://upload.wikimedia.org/wikipedia/en/d/db/Theri_poster.jpg
15,Dookudu,2011,UA,"Action, Comedy            ","    Ajay, (Mahesh Babu) an undercover cop, is assigned to catch a dangerous mafia don with whom he has a personal score to settle.",170,https://upload.wikimedia.org/wikipedia/en/4/40/Dookudu_poster.jpg
16,Pokiri,2006,A,"Action, Thriller            ","    A local goon's killer instincts earn him his girlfriend's disapproval, a corrupt cop's enmity and a wanted don's attention.",164,https://upload.wikimedia.org/wikipedia/en/b/b2/Pokiri_movie_poster.jpg
17,Sarkar,2018,UA,"Action, Drama            ","    An NRI businessman learns his vote has been cast by someone else and decides to investigate the matter, eventually finding himself pitted against two corrupt politicians.",163,https://upload.wikimedia.org/wikipedia/en/7/72/Sarkar_2018_poster.jpg
18,Athadu,2005,U,"Action, Thriller            ","    A gunman for hire is framed for murder, and assumes a dead man's identity while hiding from the police.",172,https://upload.wikimedia.org/wikipedia/en/e/ee/Athadu_Poster.jpg
19,The Ghazi Attack,2017,UA,"Action, Thriller, War            ","    A Pakistani submarine, Ghazi plans to secretly attack Vizag port. For doing so, it has to get past Indian submarine S21.",116,https://upload.wikimedia.org/wikipedia/en/e/e7/The_Ghazi_Attack_Poster.jpg
20,Kabali,2016,U,"Action, Crime, Drama            ","    Returning from prison, aged gangster Kabali confronts those who had destroyed his life. While doing so, he learns about what had happened to his family when he was gone.",153,https://upload.wikimedia.org/wikipedia/en/b/bd/Kabali_poster.jpg
21,Pushpa: The Rise - Part 1,2021,UA,"Action, Comedy, Drama,Thriller            ","A labourer rises through the ranks of a red sandalwood smuggling syndicate, making some powerful enemies in the process.",179,https://upload.wikimedia.org/wikipedia/en/7/75/Pushpa_-_The_Rise_%282021_film%29.jpg
22,Nanban,2012,U,"Comedy, Drama            ","10 years after leaving college, two best friends and their rival go on a search for their third friend, while finding out some truths along the way.",188,https://upload.wikimedia.org/wikipedia/en/a/a0/Nanban_2012_poster.jpg
23,Srimanthudu,2015,UA,"Action, Drama            ","    Harsha, a multi-millionaire who has everything, still feels that there is something missing in his life. In an attempt to fill the void, he adopts a village to bring change in the people.",158,https://upload.wikimedia.org/wikipedia/en/8/87/Srimanthudu_poster.jpg
24,Vivegam,2017,UA,"Action, Thriller            ",    An Interpol agent betrayed by his friends sets out to take revenge against the friends who work for a secret agency.,149,https://upload.wikimedia.org/wikipedia/en/b/be/Vivegam_poster.jpg
25,Billa 2,2012,A,"Action, Thriller            ","    Small-time diamond smuggler David befriends Goa-based gangster Abbasi. But when David begins to build inroads with an international gangster, Abbasi is not happy. Soon the two turn into bitter rivals.",129,https://upload.wikimedia.org/wikipedia/en/c/cc/Billa_II_poster.jpg
26,Manam,2014,UA,"Comedy, Drama, Fantasy            ","    Through reincarnation, family members are able to cross generations and meddle in each others' lives.",163,https://upload.wikimedia.org/wikipedia/en/0/0c/Manam_poster.jpg
27,7 Aum Arivu,2011,U,"Action, Sci-Fi, Thriller            ",    A genetic engineering student tries to bring back the skills of a legend of the past and use his skills to save India from a deadly virus attack by China.,160,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/7_Aum_Arivu.jpg/330px-7_Aum_Arivu.jpg
28,Bigil,2019,UA,"Action, Drama, Sport            ",    A former football player struggles to train a women's football team and avenge his father's death.,179,https://upload.wikimedia.org/wikipedia/en/f/f0/Bigil_poster.jpg
29,Business Man,2012,A,"Action, Crime            ",    Surya arrives in Mumbai to revive the mafia and ends up making enemies who threaten his life.,133,https://upload.wikimedia.org/wikipedia/en/6/67/Businessman_poster.jpg
30,Geetha Govindam,2018,UA,"Drama, Romance            ",    An innocent young lecturer is misunderstood as a pervert and despised by a woman who co-incidentally turns out to be the younger sister of his brother-in-law. Eventually differences subside and love blooms between them.,142,https://upload.wikimedia.org/wikipedia/en/4/46/Geetha_Govindam.jpg
31,Mahanati,2018,U,"Biography, Drama            ","    Biography of Savitri, an actress from South India movie industry, who ruled the industry for two decades during 50s and 60s.",177,https://upload.wikimedia.org/wikipedia/en/1/1d/Mahanati_poster.jpg
32,Spyder,2017,UA,"Action, Thriller            ",    An intelligence officer attempts to save the city from a psychotic serial killer who kills people just to hear their loved ones cry.,155,https://upload.wikimedia.org/wikipedia/en/d/de/Spyder_film_poster.jpg
33,Nannaku Prematho,2016,UA,"Action, Drama, Thriller            ",    An intelligent son of a former entrepreneur takes revenge on a powerful and rich businessman who is as smart as he is.,168,https://upload.wikimedia.org/wikipedia/en/3/3a/Nannaku_Prematho_poster.jpg
34,Dabangg 3,2019,UA,"Action, Comedy            ","    Chulbul Pandey encounters an enemy from his past, and his origin story as the fearless cop unfolds.",160,https://upload.wikimedia.org/wikipedia/en/8/89/Dabangg_3_poster.jpg
35,RRR,2022,UA,"Drama, Fantasy ,Adventure,Action,Epic           ",A fearless warrior on a perilous mission comes face to face with a steely cop serving British forces in this epic saga set in pre-independent India.,187,https://upload.wikimedia.org/wikipedia/en/d/d7/RRR_Poster.jpg
36,Manikarnika: The Queen of Jhansi,2019,UA,"Action, Biography, Drama            ","    Story of Rani Lakshmibai, one of the leading figures of the Indian Rebellion of 1857 and her resistance to the British Rule.",148,https://upload.wikimedia.org/wikipedia/en/4/44/Manikarnika_Poster.jpg
37,Race Gurram,2014,UA,"Action, Comedy            ","    Two brothers have two different approaches to life. While one brother follows rules and regulations, the other does things his own way.",163,https://upload.wikimedia.org/wikipedia/en/6/64/Race_Gurram_%28film%29_poster.jpg
38,Okkadu,2003,U,"Action, Romance, Sport            ",    A Kabbadi player rescues a young woman from an unwanted marriage and hides her in his home.,170,https://upload.wikimedia.org/wikipedia/en/6/62/Okkadu_poster.jpg
39,Bommarillu,2006,U,"Comedy, Drama, Romance            ",    A young man realizes that he has to push back against his domineering father if he wants to find true happiness and love.,170,https://upload.wikimedia.org/wikipedia/en/a/aa/Bommarillu_poster.jpg
40,Atharintiki Daaredi,2013,U,"Comedy, Drama            ",    The scion of a powerful family is tasked with retrieving an estranged family member.,170,https://upload.wikimedia.org/wikipedia/en/f/fd/Attarintiki_Daredi.jpg
41,Khaleja,2010,UA,"Action, Comedy, Fantasy            ","    When a mysterious illness ravages a remote village, the villagers embrace a reluctant taxi driver as their savior.",170,https://upload.wikimedia.org/wikipedia/en/d/dc/Mahesh_khaleja_poster.jpg
42,Yennai Arindhaal,2015,UA,"Action, Thriller            ","    Sathyadev, a sincere police officer, tries to stop an organ trafficking racket. But he is unaware that the man performing the illegal trade is the same person who killed his beloved.",168,https://upload.wikimedia.org/wikipedia/en/4/4d/Yennai_Arindhaal.jpg
43,Thalaivaa,2013,U,"Action, Drama, Thriller            ","    A son steps into his father's shoes, has to win a bloody war before he becomes the leader.",179,https://upload.wikimedia.org/wikipedia/en/b/b1/Thalaivaa_poster.jpg
44,Kaala,2018,UA,"Action, Drama            ",    Kaala is about the life of Nellai / Tirunelveli based Tamils who live in large number in Mumbai.,162,https://upload.wikimedia.org/wikipedia/en/4/46/Kaala_Poster.jpg
45,Bairavaa,2017,U,"Action, Thriller            ","    Bairavaa, a gallant debt collector, takes on a violent criminal masquerading as a philanthropist in the education field.",169,https://upload.wikimedia.org/wikipedia/en/8/8a/Bairavaa_poster.jpg
46,Goodachari,2018,UA,"Action, Thriller            ","    A young NSA agent is framed for the murder of his bosses making him realize that now his mission is darker than expected and has some personal scores to settle regarding his father's death, a former NSA agent.",147,https://upload.wikimedia.org/wikipedia/en/b/ba/Goodachari.jpg
47,Puli,2015,U,"Action, Adventure, Fantasy            ",    A virtuous soldier tries to save people from an evil queen and a throne-seeking commander.,155,https://upload.wikimedia.org/wikipedia/en/8/8a/Puli_movie_poster.jpg
48,Pulimurugan,2016,U,Action            ,"    When a small village near a forest is under the threat of man eating tigers and a drug mafia, the villagers seek the help of an unstoppable force, a hunter invincible.",161,https://upload.wikimedia.org/wikipedia/en/e/e1/Pulimurugan_film_poster.jpg
49,Veeram,2014,U,Action            ,"    Vinayagam, an honest man, uses violence to settle disputes. He decides to mend his ways for his lover's sake. Hell breaks loose when he learns about a gang of rowdies following his lover's family.",161,https://upload.wikimedia.org/wikipedia/en/e/ec/Veeram_2014_poster.jpg
50,Vedam,2010,A,"Action, Drama            ",    A terrorist threat puts five people in jeopardy.,135,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Vedam-poster.jpg/330px-Vedam-poster.jpg
51,Yevadu,2014,A,"Action, Thriller            ","    A young man receives a life-saving face transplant after he is critically injured and his girlfriend murdered in a vicious attack. Unrecognisable to his enemies, he sets out for revenge.",165,https://upload.wikimedia.org/wikipedia/en/e/e7/Yevadu_poster.jpg
52,Aravindha Sametha Veera Raghava,2018,UA,"Action, Drama            ",    A young scion of a powerful family with a long history of violence decides to put an end to the bloodshed which leads him to a path of self discovery.,162,https://upload.wikimedia.org/wikipedia/en/d/d7/Aravinda_Sametha_Veera_Raghava.jpg
53,Billa,2007,UA,"Action, Thriller            ","    A cop chases international gangster Billa and happens to be the only one to see him die. He places Velu, Billa's lookalike, inside the gang to get information. But Velu is framed for killing the cop.",130,https://upload.wikimedia.org/wikipedia/en/b/b3/Billa_2007_poster.jpg
54,Jersey,2019,U,"Drama, Sport            ",    A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.,157,https://upload.wikimedia.org/wikipedia/en/1/10/Jersey_2019_poster.jpg
55,Sye Raa Narasimha Reddy,2019,UA,"Action, Adventure, Drama            ","    A historical action epic inspired by the life of Uyyalawada Narasimha Reddy, who revolted against the atrocities of East India Company 10 years before the Sepoy Mutiny.",167,https://upload.wikimedia.org/wikipedia/en/a/ac/Sye_Raa_Narasimha_Reddy_film_poster.jpg
56,Ala Vaikunthapurramuloo,2020,UA,"Action, Drama            ",    A jealous clerk secretly switches his newborn son with his millionaire friend's temporarily stillborn son.,163,https://upload.wikimedia.org/wikipedia/en/2/28/Ala_Vaikunthapurramuloo.jpeg
57,Janatha Garage,2016,UA,"Action, Drama            ","    An environmental activist comes to Hyderabad to attend a seminar, where an unexpected encounter with a man who runs an organization for the oppressed, changes his purpose in life.",162,https://upload.wikimedia.org/wikipedia/en/2/2c/Janatha_Garage_poster.jpg
58,Gabbar Singh,2012,UA,"Action, Comedy            ","    Venkatarathnam Naidu (Pawan Kalyan), son of Suhasini and step son of Nagineedu calls himself as Gabbar Singh after liking the character from Sholay. He turns as a cop and gets posted to his...                See full summaryÂ Â»",153,https://upload.wikimedia.org/wikipedia/en/9/90/Gabbar_singh_poster.jpg
59,Temper,2015,UA,"Action, Drama            ","    Daya, a corrupt police officer, finds his life changing when he takes on a case of gang rape.",147,https://upload.wikimedia.org/wikipedia/en/6/64/Temper_film_poster.jpg
60,Game Over,2019,UA,"Drama, Thriller            ",    A nyctophobic woman has to fight her inner demons to stay alive in the game called life.,102,https://upload.wikimedia.org/wikipedia/en/8/84/Game_Over_2019_poster.jpg
61,Singam 2,2013,U,"Action, Thriller            ",    Tough cop Durai Singam performs an undercover operation and identifies some nefarious activities in the seas around the coastal town.,166,https://upload.wikimedia.org/wikipedia/en/b/b1/Singam_II.jpg
62,Dhruva,2016,UA,"Action, Thriller            ","    A committed police officer is on a very dangerous mission to destroy the most corrupt person in the country, Siddharth Abhimanyu.",165,https://upload.wikimedia.org/wikipedia/en/5/53/Dhruva_Telugu_film_poster.jpg
63,Jalsa,2008,A,"Action, Comedy            ",    A carefree young man's past compels him to confront a criminal boss to acquire land rights.,161,https://upload.wikimedia.org/wikipedia/en/5/56/Jalsa_poster.jpg
64,Maharshi,2019,UA,"Action, Drama            ","    Rishi, a millionaire businessman, returns to his homeland, where he becomes the champion of poor and downtrodden farmers.",176,https://upload.wikimedia.org/wikipedia/en/3/37/Maharshi_poster.jpg
65,Pelli Choopulu,2016,UA,"Comedy, Drama, Romance            ","    This is an urban rom-com in a modern setting where tradition still has a strong hold. The story starts with the ""pellichoopulu"" or arranged meeting of Prashanth (Vijay Deverakonda) and ...                See full summaryÂ Â»",125,https://upload.wikimedia.org/wikipedia/en/b/b3/Pelli_Choopulu_poster.jpg
66,Arya 2,2009,UA,"Action, Comedy            ",    A psychotic willing to sacrifice anything for friendship transforms himself for the sake of his best friend who's not really fond of him.,155,https://upload.wikimedia.org/wikipedia/en/8/82/Arya_2_Poster.jpg
67,Chekka Chivantha Vaanam,2018,UA,"Action, Crime, Drama            ",    A bloody power struggle erupts between three brothers who are vying to take over the family business following the death of their father.,146,https://upload.wikimedia.org/wikipedia/en/c/c3/Chekka_Chivantha_Vaanam_poster.jpg
68,Naa Peru Surya Na Illu India,2018,UA,"Action, Drama            ","    A short tempered soldier aspiring to serve at the borders is tasked with getting clearance signature from his estranged father, a professor, who in turn challenges him to give up anger.",163,https://upload.wikimedia.org/wikipedia/en/8/8c/Naa_Peru_Surya%2C_Naa_Illu_India.jpg
69,Ki & Ka,2016,UA,"Comedy, Romance            ","    Follows a young, married couple whose relationship challenges the gender roles placed upon women and men in Indian society.",126,https://upload.wikimedia.org/wikipedia/en/b/b2/Ki_%26_Ka_poster.jpg
70,Seethamma Vakitlo Sirimalle Chettu,2013,U,"Comedy, Drama, Family            ","    An exuberant and evocative family drama, that primarily revolves around the close bond between two brothers with radically different personalities, highlighting the complex process of choosing an ideal life partner for each of them.",159,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Seethamma_Vakitlo_Sirimalle_Chettu.jpg/330px-Seethamma_Vakitlo_Sirimalle_Chettu.jpg
71,Singam 3,2017,U,"Action, Thriller            ",    Uncompromising police chief Durai Singam battles against a criminal operation dealing in deadly toxic waste.,155,https://upload.wikimedia.org/wikipedia/en/1/1b/Si3_film_poster.jpg
72,Agent Sai Srinivasa Athreya,2019,UA,"Action, Comedy, Crime            ",    Agent Sai Srinivasa Athreya is an authentic humorous investigative thriller revolving around the adventures of a detective based out of Nellore.,148,https://upload.wikimedia.org/wikipedia/en/6/61/Agent_Sai_Srinivasa_Athreya_poster.jpg
73,Jai Lava Kusa,2017,UA,"Action, Drama            ","    Sidelined at a very young age due to stammering, the eldest of identical triplets develops hatred for his younger brothers and creates havoc in their lives as they all reunite as adults.",150,https://upload.wikimedia.org/wikipedia/en/c/c1/Jai_Lava_Kusa.jpg
74,Arya,2004,U,"Action, Drama, Romance            ","    Arya (Allu Arjun) is a happy-go-lucky, college-going youth with an attitude. He falls in love with Geeta (Anuradha Mehta) at first sight. He proposes to her in front of her boyfriend Siva. ...                See full summaryÂ Â»",151,https://upload.wikimedia.org/wikipedia/en/3/3d/Aarya_Telugu_Movie.jpg
75,Maattrraan,2012,U,"Action, Sci-Fi, Thriller            ","    Conjoined twins Vimalan and Akhilan involve themselves in a series of deaths involving their father's company. However, the truths that they initially uncover lead to a bigger conspiracy, one that spans across the globe.",165,https://upload.wikimedia.org/wikipedia/en/6/60/Maattrraan_poster.jpg
76,Kochadaiiyaan,2014,U,"Animation, Action            ",    A saga of revenge undertaken by a son for his father's name and his kingdom.,124,https://upload.wikimedia.org/wikipedia/en/9/98/Kochadaiiyaan.jpg
77,Thaanaa Serndha Koottam,2018,UA,"Action, Comedy, Crime            ","    Angered by the corruption that stopped him from becoming a CBI officer, a young man forms a gang who pose as CBI officers and raids the corrupt.",138,https://upload.wikimedia.org/wikipedia/en/c/c7/Thaanaa_Serndha_Koottam.jpg
78,OK Kanmani,2015,UA,Romance            ,"    Two young lovers are compatible in every way - they even agree that marriage is futile. However, their emotions are not so easily managed, especially when they witness the unconditional love of the older couple with whom they live.",139,https://upload.wikimedia.org/wikipedia/en/8/80/Okay_Kanmani_film_poster.jpg
79,Dear Comrade,2019,UA,"Action, Drama, Romance            ",    A hot-blooded student union leader falls for a state-level cricketer but his anger management issues and violent streak threatens to derail their love story.,169,https://upload.wikimedia.org/wikipedia/en/e/ee/Dear_Comrade.jpg
80,Happy Days,2007,U,Drama            ,"    The movie revolves around eight youngsters, who become good friends in their freshman years when they join the college for their Bachelors in Engineering (B.E.). The life of these young ...                See full summaryÂ Â»",153,https://upload.wikimedia.org/wikipedia/en/7/78/Happy_Days_%282007_film%29.jpg
81,Sarileru Neekevvaru,2020,UA,"Action, Comedy, Drama            ",    A tough army major is deployed to Kurnool on a mission to keep the country safe from external threats.,169,https://upload.wikimedia.org/wikipedia/en/4/42/Sarileru_Neekevvaru.jpg
82,Julayi,2012,UA,"Action, Comedy            ",    A happy-go-lucky man with wit and an instinct to kill teams up with a timid cop after being pursued by the criminal whose plans to rob a bank he foiled.,160,https://upload.wikimedia.org/wikipedia/en/2/2d/Julai_poster.jpg
83,Kshanam,2016,UA,Thriller            ,"    Rishi, a non-resident Indian, returns to India to help his ex-lover find her kidnapped daughter.",110,https://upload.wikimedia.org/wikipedia/en/0/0d/Kshanam_poster.jpg
84,Oopiri,2016,U,"Comedy, Drama            ","    Impressed by his carefree attitude, Vikram, a quadriplegic multi-billionaire, hires a convict out on parole as his caretaker. What follows is a string of life lessons they learn from each other.",158,https://upload.wikimedia.org/wikipedia/en/4/49/Oopiri_Telugu_film_Poster.jpg
85,Baadshah,2013,UA,"Action, Comedy            ","    Fast-paced and fiery, this action-oriented revenge thriller follows the transformation of a young man, from an IPS aspirant into fearless Baadshah, an avenging angel wreaking vengeance upon the mafia kingpin, Saadu Bhai.",164,https://upload.wikimedia.org/wikipedia/en/7/71/Baadshah_Official_Poster.jpg
86,3,2012,U,"Drama, Mystery, Romance            ","    Ram and Janani's three stages of love - their attraction for each other during their school days, their love at college days, and the relationship when they mature, are explored in this romantic tale.",145,https://upload.wikimedia.org/wikipedia/en/5/5b/3_Tamil_movie_poster.jpg
87,Sarrainodu,2016,UA,"Action, Drama            ",    An intense battle breaks out between an evil son of a politician and an ex army man who can't tolerate injustice.,159,https://upload.wikimedia.org/wikipedia/en/d/d6/Sarrainodu_poster.jpg
88,Kick,2009,UA,"Action, Comedy            ",    An adrenaline junkie's quest for kicks leads him to a life of crime.,155,https://upload.wikimedia.org/wikipedia/en/a/a3/Kick_poster.jpg
89,Leader,2010,UA,Drama            ,"    A well educated idealist, who is a son of Political leader in power wants to correct the rigged political system of favors and corruption. However, this soon becomes a game of power. How ...                See full summaryÂ Â»",167,https://upload.wikimedia.org/wikipedia/en/8/8f/Leader_2010_poster.jpg
90,Anjaan,2014,U,"Action, Musical, Thriller            ","    Raju Bhai and Chandru head a thriving gang dismantling everyone coming their way. However when their success reaches the dreaded Imran, their lives take a turn.",166,https://upload.wikimedia.org/wikipedia/en/1/16/Anjaan_2014_poster.jpg
91,Khushi,2001,U,"Drama, Romance            ","    While playing matchmaker to a pair of their friends, two young university students begin developing feelings for each other.",169,https://upload.wikimedia.org/wikipedia/en/2/27/Kushi_Theatrical_Poster.jpg
92,Maya Bazaar,1957,U,"Comedy, Drama, Family            ","    Balarama promises Subhadra to get his daughter married to her son. But when the Pandavas loses their kingdom to the Kaurava's, Balarama breaks his promise.",192,https://upload.wikimedia.org/wikipedia/en/b/bb/Mayabazar.jpg
93,Rakhta Charitra,2010,A,"Action, Biography, Crime            ",    A killer bandit decides to become a politician in order to avenge deaths in his family.,125,https://upload.wikimedia.org/wikipedia/en/2/2b/Rakta_Charitra_poster.jpg
94,Mirchi,2013,A,"Action, Drama            ","    A man returns to his country in order, ostensibly, to reform his girlfriend's violent family, but he seems to have a strange connection and a rather dark past.",155,https://upload.wikimedia.org/wikipedia/en/a/a8/Mirchi_film_poster.jpg
95,Chatrapathi,2005,UA,"Action, Drama            ",    Displaced Sri Lankans in a Vizag port are ruled by a local rowdy. This is the story of Chatrapati Sivaji who overcomes this oppression and how he reunites with his long lost mother and brother.,158,https://upload.wikimedia.org/wikipedia/en/e/eb/Chhatrapati_movie_poster.jpg
96,C/o Kancharapalem,2018,UA,Drama            ,    Four unconventional love stories set in the town and including the people of Kancherapalem.,152,https://upload.wikimedia.org/wikipedia/en/d/d3/C-o_Kancharapalem.jpg
97,Sachein,2005,UA,"Comedy, Drama, Romance            ","    A love triangle on a college campus between two young students who try to deny their feelings for each other. The entry of a lecturer who has a soft corner for the boy, changes things around.",145,https://upload.wikimedia.org/wikipedia/en/4/47/Sachin_Vijay_Movie.jpg
98,Murari,2001,,"Drama, Romance, Thriller            ",    A family is under a curse due to an old sin; due to which a male is bound to die every 48 years.,180,https://upload.wikimedia.org/wikipedia/en/2/2b/Murari_poster.jpg
99,Vikramarkudu,2006,A,Action            ,"    Vikram Rathod, a policeman, joins with a small time thief Satthi Babu who looks identical to him to avenge his own destruction.",140,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Vikramarkudu_poster.jpg/330px-Vikramarkudu_poster.jpg
100,Kuruthipunal,1995,A,"Action, Drama, Thriller            ","    Suave and scintillating, this fast-paced action thriller follows the adventures and investigations of a group of honest police officers, who go undercover to bring down a terror network.",143,https://upload.wikimedia.org/wikipedia/en/9/90/Kuruthipunal_film_poster.jpg
101,Brindaavanam,2010,UA,"Action, Comedy, Drama            ",    Krish (NTR) is the son of a billionaire businessman (mukesh Rishi). He has a girl friend Indu (samantha). Her friend Bhoomi (kajal) wants to pursue her higher studies and lands in trouble ...                See full summaryÂ Â»,169,https://upload.wikimedia.org/wikipedia/en/5/54/Brindavanam_poster.jpg
102,Panjaa,2011,A,"Action, Thriller            ",    A hitman invites the wrath of his boss after beating the latter's son to death for killing an innocent woman.,156,https://upload.wikimedia.org/wikipedia/en/6/61/Panjaa_poster.jpg
103,Nuvvu Naaku Nachchav,2001,U,"Musical, Comedy, Family            ","    Venkateswarlu, aka Venky, comes Hyderabad to his father's friend's house where he meets an engaged girl . Things turn upside down when she expresses her love for him .",184,https://upload.wikimedia.org/wikipedia/en/thumb/9/95/Nuvvu_Naaku_Nachav.jpg/330px-Nuvvu_Naaku_Nachav.jpg
104,Gopala Gopala,2015,U,"Comedy, Drama, Fantasy            ",    An atheist sues god after losing his shop in an earthquake.,153,https://upload.wikimedia.org/wikipedia/en/e/e0/Gopala_Gopala_2015_poster.jpg
105,Kaappaan,2019,UA,"Action, Thriller            ","    A Special Protection Group officer has to identify the threat to the prime minister, who he is protecting, and also the nation.",166,https://upload.wikimedia.org/wikipedia/en/6/61/Kaappaan_poster.jpg
106,Aagadu,2014,UA,"Action, Comedy            ",    An encounter specialist is transferred as CI to a village which is ruled by a local gangster,165,https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/Aagadu_poster.jpg/330px-Aagadu_poster.jpg
107,Masss,2015,U,"Action, Comedy, Horror            ","    After a life-threatening accident, a man finds that he can communicate with the dead, and must decide whether to act on their advice.",151,https://upload.wikimedia.org/wikipedia/en/9/9f/Massu_Engira_Masilamani.jpg
108,Maanagaram,2017,UA,"Action, Thriller            ",    Four youngsters arrive in a big city and their lives become interlinked.,137,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Maanagaram_poster.jpg/330px-Maanagaram_poster.jpg
109,Drushyam,2014,U,"Crime, Drama, Family            ","    Rambabu (Venkatesh Daggubati), a cable operator, tries to protect his family from paying the price for their accidental crime.",150,https://upload.wikimedia.org/wikipedia/en/6/69/Drushyam_poster.jpg
110,Yamadonga,2007,UA,"Action, Comedy, Fantasy            ","    A lovable scoundrel's life is cut short when he angers the god of death; however, he still has a few tricks up his sleeve.",185,https://upload.wikimedia.org/wikipedia/en/3/39/Yamadonga.jpg
111,S/O Satyamurthy,2015,UA,"Action, Drama            ",    A rich businessman's son faces multiple challenges after he becomes the sole breadwinner of his family.,162,https://upload.wikimedia.org/wikipedia/en/8/81/Son_of_Satyamurthy_poster.jpg
112,Tholi Prema,1998,U,"Drama, Romance            ","    Balu (Pawan Kalyan) falls in love with a girl at first sight but can't find a way to get to know her. He can't believe his luck when she approaches him, because her hobby is collecting the ...                See full summaryÂ Â»",146,https://upload.wikimedia.org/wikipedia/en/7/7d/Tholi_Prema.jpg
113,Awe!,2018,UA,Thriller            ,    Unusual(multiple) persons tend to meet at a Restaurant and their life-changing moments take place in order to know about a single person.,150,https://upload.wikimedia.org/wikipedia/en/8/81/Awe_film_poster.jpg
